ID,Author,;,"""",!,-,?
10872,"Jacobs, W. W. (William Wymark)",0.005116576545147973,0.042719007071727516,0.0019232944903269601,0.012438149711743613,0.009545628102329132
10873,"Jacobs, W. W. (William Wymark)",0.0042444328158613865,0.0335907057295425,0.001697024550288494,0.007490126651232467,0.009450171821305843
10874,"Jacobs, W. W. (William Wymark)",0.003895575324146753,0.034095829123971716,0.002262699400384659,0.006673021925643471,0.01011836578846888
10875,"Jacobs, W. W. (William Wymark)",0.004070004070004071,0.03373502669937942,0.0020364294603461928,0.0070361795814608006,0.009354715540282551
10876,"Jacobs, W. W. (William Wymark)",0.020524449095877667,0.16261365276374656,0.0092770675415771,0.035090108493349675,0.043432607865597564
10879,"Richardson, James D. (James Daniel)",0.012151869294726435,0.0019483330927983836,0.00045253988007693164,0.01284670207453811,0.0016227567773959527
1089,"London, Jack",0.008721437292865864,0.06783085582335112,0.03235660142550062,0.04503154932134913,0.02472317678503245
10892,"Haggard, H. Rider (Henry Rider)",0.09372637944066516,0.2431086736902872,0.06448693291096277,0.155159108447955,0.10729285987017946
10893,"Richardson, James D. (James Daniel)",0.0124425838711553,0.0015153701832876314,0.0,0.008988151981478959,0.001718213058419244
10894,"Richardson, James D. (James Daniel)",0.00912843769986627,0.002345215759849906,0.0003394049100576988,0.00590131190703164,0.000572737686139748
10895,"Richardson, James D. (James Daniel)",0.009942438513867086,0.0027420984269014284,0.00011313497001923294,0.005628943665168642,9.545628102329135e-05
1091,"Carlyle, Thomas",0.12686784115355546,0.0342040698513494,0.08055209865369385,0.09451177992646058,0.03512791141657121
10911,"Bennett, Arnold",0.01732658875516018,0.07919613219800836,0.050005656748500965,0.05070588769349494,0.037705231004200083
10919,"Richardson, James D. (James Daniel)",0.023838595267166696,0.008370616250541203,0.0003394049100576988,0.022379590539743068,0.0057273768613974796
10929,"Ballantyne, R. M. (Robert Michael)",0.03453689167974882,0.07988165680473372,0.0394841045367123,0.07812429070770349,0.01861397479954181
1093,"James, Henry",0.009302866445723588,0.02258623177947756,0.0030546441905192896,0.02283353760951473,0.011932035127911416
10938,"Cooper, James Fenimore",0.05936391650677365,0.12786837927550873,0.08439868763434777,0.08497889146125563,0.03961435662466591
10951,"Richardson, James D. (James Daniel)",0.01174486888772603,0.006133641218068985,0.0,0.015706568614099598,0.00047728140511645663
10956,"Morley, John",0.008081865224722368,0.008298455765622744,0.0007919447901346306,0.04239865631667348,0.007731958762886598
1096,"London, Jack",0.010407581836153264,0.04473950064944436,0.022853263943885056,0.03826773798175133,0.01708667430316915
10992,"Abbott, Jacob",0.01226815512529798,0.004149227882811372,0.0003394049100576988,0.06396114213082756,0.0007636502481863308
