ID,Author,/,_,*,e_E,t_T,n_N,a_A,i_I,h_H,s_S
4411,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.017365833476379742,0.016048668779348154,0.016234631493952042,0.017111186657189068,0.017317475691165003,0.0189087148953558,0.018548332696242658
4412,"Meredith, George",0.1348314606741573,0.0,0.007662835249042149,0.09751363342268232,0.09638608097584296,0.0976404793820379,0.1003080219633052,0.1014925193558284,0.10303269102075788,0.10406313943291434
4413,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.016001390851192128,0.015988526751636558,0.015254149645793478,0.015926486798322877,0.016798111841696294,0.015199938291294282,0.015881546106626492
4414,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.014920840320600003,0.015212848804484437,0.013850051907862551,0.015304948611497424,0.015679173509636306,0.01480383511267051,0.015094551750500304
4415,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.013729153737472436,0.01352270361546113,0.01322556651167231,0.014132267446851615,0.015155799128511472,0.013655135894661571,0.0142423492905808
4416,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.015128807785245531,0.01479802302360189,0.014446694006133484,0.015531586845367481,0.01565310505387147,0.015266650405588809,0.01607267330739999
4417,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.015250947407338941,0.015067891096666744,0.014255768534686785,0.015258590790933097,0.016250674270634688,0.015425091677038316,0.015946754210419804
4418,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.01533237382206788,0.01491984918229974,0.0142458244997156,0.01484308736217133,0.015452578471065018,0.015894161230671732,0.01565893913160794
4419,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.0367816091954023,0.016193953318456508,0.015914505794453058,0.015307847434637863,0.016123936774800576,0.01723726505804242,0.01684480885936878,0.01704854630899647
4420,"Meredith, George",0.1348314606741573,0.0,0.007662835249042149,0.10962636279208976,0.10910997509503212,0.10404642671047347,0.10939072088127934,0.11652599726882795,0.10883456021081027,0.1126413779146898
4421,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03601532567049809,0.018099771565895977,0.01835411317495933,0.018774338025591968,0.019497755938093424,0.017796734224072415,0.01904422387751656,0.019407280822071816
4422,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03601532567049809,0.016330397580975268,0.016560647066534047,0.01684320643418839,0.017217637948855304,0.0166396958412792,0.01692819900223694,0.017408315157511296
4423,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03601532567049809,0.017901707313852613,0.0178822295729145,0.01841635276662941,0.018515656924656523,0.018338155997649833,0.01805813543810054,0.018422413599262468
4424,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03601532567049809,0.01598158442598779,0.015778800706283302,0.01587067981400677,0.016312801969692287,0.01681415396832081,0.016630079241483263,0.0171542284082477
4425,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03601532567049809,0.01578131946003283,0.015148080466948871,0.015281992943712784,0.016091314604773827,0.014604351025793737,0.017203386473701874,0.015926517212690845
4426,"Meredith, George",0.1348314606741573,0.0,0.007662835249042149,0.08630649782789536,0.08636086758730233,0.08769843321784995,0.0892491063242369,0.08734135840717726,0.08908985913320118,0.0902974838666157
