ID,Author,/,w_W,h_H,e_E,u_U
2329,"Cooper, James Fenimore",0.011308562197092085,0.05466871007797031,0.05995169408505895,0.06506056951072421,0.05407774597190223
23299,"Crawford, F. Marion (Francis Marion)",0.0117124394184168,0.13271732686004498,0.13600395230213153,0.12713618962714354,0.10717804308532508
23324,"Burnett, Frances Hodgson",0.01009693053311793,0.008412291790184913,0.007047427625578489,0.005986679951754156,0.0061206916614303325
23325,"Burnett, Frances Hodgson",0.01050080775444265,0.010616043761815802,0.009665405533222985,0.009122659814358385,0.00726880619361245
23326,"Burnett, Frances Hodgson",0.01009693053311793,0.006767867730135468,0.007043205080566158,0.007069064974566048,0.006012086232710403
23327,"Burnett, Frances Hodgson",0.01009693053311793,0.013200138713322072,0.014284869776711819,0.013406051706958941,0.009968426850364993
23328,"Burnett, Frances Hodgson",0.01009693053311793,0.010414685713646482,0.009969428774110731,0.010865803135979865,0.0083626180114346
23329,"Burnett, Frances Hodgson",0.01009693053311793,0.010996386741691185,0.012401614701212716,0.011604174314332165,0.008727221950708651
23330,"Burnett, Frances Hodgson",0.01009693053311793,0.006946852661841531,0.0063338175184947465,0.0051434265037495425,0.004181309005717299
23331,"Seaman, Owen",0.02019386106623586,0.01153334153680937,0.011654224234030336,0.012617337039173528,0.011613023342409644
2334,"Kipling, Rudyard",0.0044426494345718905,0.3615383754880136,0.3504247880282404,0.3273983953012743,0.28751735747476864
23344,"Dickens, Charles",0.02423263327948304,0.004362757710335261,0.004860149309191636,0.004520425822014789,0.003366768290317827
23351,"Optic, Oliver",0.0117124394184168,0.07262313603973465,0.07877579975002534,0.06789868372751587,0.06119140155305764
2343,"Doyle, Arthur Conan",0.009693053311793216,0.013770653183135143,0.012925210282741614,0.012598458230636113,0.011364782362478376
23430,"Abbott, Jacob",0.0117124394184168,0.045708276934435584,0.04539235888254569,0.04660548534270282,0.0327212641671903
2344,"Doyle, Arthur Conan",0.009693053311793216,0.010850961484680007,0.010096105124480628,0.00906812103413918,0.008525526154514495
23440,"Becke, Louis",0.019386106623586433,0.06385287438613761,0.058013545924399564,0.05454717080077613,0.04407828899904583
2345,"Doyle, Arthur Conan",0.009693053311793216,0.010011969617307845,0.008719555450461101,0.00776758089045047,0.007276563724235302
23499,"Reid, Mayne",0.01009693053311793,0.12984238139451634,0.12985592676417929,0.132141171534952,0.11953578936752855
23506,"Conrad, Joseph",0.01009693053311793,0.1583792914434016,0.16200216194304629,0.15355183806177564,0.12937233819730504
23518,"Seaman, Owen",0.021405492730210016,0.013021153781616009,0.013347464783974595,0.014096177041271175,0.012256898384106372
23531,"Wells, Carolyn",0.0117124394184168,0.060329108543174526,0.054812856805053545,0.05583512507210656,0.05067994755909299
2359,"Stevenson, Robert Louis",0.009693053311793216,0.051379861957871434,0.05459750700942472,0.05068121034139179,0.03938498297222028
23593,"Ruskin, John",0.0117124394184168,0.04626760484601703,0.05210620545215012,0.05548062300068173,0.05220818109179486
236,"Kipling, Rudyard",0.009289176090468495,0.06474779904466793,0.06468938958889303,0.05353610572132781,0.044962647490050967
23604,"Burnand, F. C. (Francis Cowley)",0.02019386106623586,0.008501784256037944,0.008373306759450055,0.00908490219728355,0.009053038236868441
23648,"Reid, Mayne",0.01009693053311793,0.08865347398565883,0.1180370232746681,0.10542975509990037,0.08883148316227979
23653,"Meade, L. T.",0.0117124394184168,0.12214602933115568,0.1285004898152214,0.11148775499501808,0.09625543996834927
2370,"MacDonald, George",0.01009693053311793,0.2324119338203215,0.24559588555214,0.21751953432272275,0.1625357816099979
23726,"Seaman, Owen",0.023021001615508886,0.014274048303558443,0.014352430496909097,0.015040117468142012,0.012908530956425952
2373,"Holmes, Oliver Wendell",0.009693053311793216,0.010548924412426029,0.010163665844677905,0.010863705490586816,0.009068553298114145
23758,"Optic, Oliver",0.0117124394184168,0.0624881142818789,0.06174205317028679,0.053659866799517536,0.0434344139573491
23765,"Dickens, Charles",0.012520193861066236,0.004687167899052497,0.005316184170523258,0.0046316010278462435,0.003933068025786033
23773,"Optic, Oliver",0.0117124394184168,0.07856319846072958,0.08453112860183089,0.07345324872830249,0.057134213037305974
23792,"Wells, Carolyn",0.012520193861066236,0.0009508574496884547,0.0007178326520960714,0.0007194923698148827,0.0010239940422164821
2381,"Kipling, Rudyard",0.009693053311793216,0.07841777320371841,0.07655896361855218,0.07565997168178719,0.0659622828861117
23821,"Becke, Louis",0.01009693053311793,0.02562840490866175,0.020648245110292875,0.021465205307042844,0.019967883823221396
23853,"Reid, Mayne",0.01009693053311793,0.11503137829583973,0.10580008782893624,0.1066589753002255,0.08631028570985284
23972,"Wells, Carolyn",0.012520193861066236,0.26307428993321624,0.23899604769786845,0.22947191777230055,0.19981847378342527
23989,"Abbott, Jacob",0.026655896607431343,0.03760920877473628,0.034354626220315515,0.028465047983638362,0.02612736313776599
24000,"Trollope, Anthony",0.0117124394184168,0.16655666551072232,0.18085160287808666,0.1504011746814201,0.13809180261739082
24013,"Alger, Horatio, Jr.",0.0117124394184168,0.043236047565245614,0.0416005134614735,0.04087262048350726,0.042263026833298425
24019,"Harte, Bret",0.012520193861066236,0.0006488203774344747,0.00034624869101104614,0.00029157270963343614,0.0005042394904853888
24071,"Chambers, Robert W. (Robert William)",0.02019386106623586,0.048605595516427465,0.058634260041212034,0.05662593738528503,0.04308532507932075
